rank_position,movement,points,competitions_played,competitor_id
341,7,183,16,sr:competitor:223788
342,7,182,8,sr:competitor:51345
343,7,182,18,sr:competitor:822192
344,24,181,31,sr:competitor:48055
345,6,180,1,sr:competitor:671637
346,6,180,1,sr:competitor:972327
347,6,180,2,sr:competitor:175014
348,6,180,2,sr:competitor:117916
349,6,180,2,sr:competitor:136042
350,6,180,3,sr:competitor:675175
351,6,180,4,sr:competitor:63438
351,6,180,4,sr:competitor:128552
353,6,180,5,sr:competitor:102339
354,6,180,5,sr:competitor:472975
355,6,180,5,sr:competitor:122366
355,6,180,5,sr:competitor:337601
357,6,180,5,sr:competitor:39711
358,6,180,6,sr:competitor:254383
359,6,180,6,sr:competitor:763108
360,6,180,9,sr:competitor:399637
361,-156,180,12,sr:competitor:77223
362,-20,180,15,sr:competitor:93589
363,10,180,16,sr:competitor:450343
364,3,180,18,sr:competitor:312436
365,4,179,20,sr:competitor:126402
366,4,177,10,sr:competitor:414501
367,-39,176,18,sr:competitor:165234
368,3,175,10,sr:competitor:145122
369,3,175,15,sr:competitor:36300
370,-25,175,46,sr:competitor:759758
371,3,173,29,sr:competitor:797282
372,3,172,32,sr:competitor:155860
373,4,170,5,sr:competitor:121668
374,4,170,7,sr:competitor:373348
375,11,170,22,sr:competitor:679481
376,-29,168,16,sr:competitor:138528
377,4,167,23,sr:competitor:840614
378,4,167,25,sr:competitor:256481
379,4,166,17,sr:competitor:65606
380,4,166,23,sr:competitor:121248
381,4,165,19,sr:competitor:866247
382,5,162,21,sr:competitor:635386
383,5,162,26,sr:competitor:297608
384,6,160,17,sr:competitor:161868
385,233,159,15,sr:competitor:54975
386,5,159,17,sr:competitor:418167
387,5,159,17,sr:competitor:515498
388,6,159,28,sr:competitor:308834
389,6,157,10,sr:competitor:915153
390,6,157,26,sr:competitor:130442
391,10,157,36,sr:competitor:154740
392,5,156,21,sr:competitor:403357
393,5,155,5,sr:competitor:108767
394,5,155,17,sr:competitor:431697
395,-19,155,29,sr:competitor:120956
396,55,154,22,sr:competitor:908699
397,-17,152,12,sr:competitor:78387
398,-147,151,17,sr:competitor:251091
399,3,150,11,sr:competitor:620338
400,3,150,13,sr:competitor:341188
401,3,150,17,sr:competitor:983047
402,3,150,21,sr:competitor:681071
403,59,150,24,sr:competitor:179294
404,2,149,14,sr:competitor:385204
405,2,149,16,sr:competitor:42164
406,2,149,30,sr:competitor:376372
407,12,148,30,sr:competitor:16852
408,9,147,19,sr:competitor:645452
409,0,147,24,sr:competitor:230152
410,0,146,12,sr:competitor:933891
411,0,146,16,sr:competitor:452691
412,0,146,18,sr:competitor:252239
413,1,146,29,sr:competitor:244783
414,1,145,4,sr:competitor:682911
415,40,145,11,sr:competitor:345060
416,-3,145,20,sr:competitor:156826
417,-1,145,36,sr:competitor:160104
418,0,143,28,sr:competitor:130494
419,1,143,38,sr:competitor:124934
420,-77,142,10,sr:competitor:51100
421,1,142,10,sr:competitor:243478
422,3,141,15,sr:competitor:951299
423,3,141,16,sr:competitor:952887
424,3,141,34,sr:competitor:171072
425,3,140,7,sr:competitor:256875
426,3,140,14,sr:competitor:809322
427,3,140,18,sr:competitor:350814
